sector,Year
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
Energy,2019
